test,config,ramp_start_s,ramp_end_s,hold_position_mm,position_rate_mm_per_s,strain_rate_1_per_s,strain_rate_pct_per_s
1,Config 1,0.076,6.041,0.998827,0.1667106372912842,0.0036618476894546108,0.3661847689454611
2,Config 1,0.024,5.965,0.998827,0.16681755726438768,0.003362536943082128,0.33625369430821284
3,Config 2,0.008,11.884001,1.998455,0.16670547577614928,0.003364042589706323,0.3364042589706323
4,Config 2,0.011,11.879001,1.998455,0.1667054207153859,0.0037854477038597057,0.37854477038597056
5,Config 3,0.073,35.707001,5.998568,0.16667364933993484,0.004530925705067378,0.4530925705067378
6,Config 3,0.072,35.698002,5.998569,0.16667476881573048,0.0048998829715192335,0.4899882971519233
7,Config 4 (altered rate),0.042,3.628,5.998568,1.6668867831226017,0.050631534517791295,5.0631534517791295
8,Config 5 (altered rate),0.04,7.192,5.998568,0.833658023869231,0.02984953841125887,2.984953841125887
