cycle,cycle_time_s,frequency_hz,nominal_frequency_hz,strain_amplitude,stress_amplitude_mpa,phase_lag_deg,E_star_mpa,E_storage_mpa,E_loss_mpa,tan_delta,fit_r2_min,reliable,steady_state
14,31.707501502499998,0.5002503753128447,0.5,0.001616680902705057,2.596713584222908,7.706404631384844,1606.200444304157,1591.693589300389,215.38659443641328,0.1353191316998921,0.9975652988154682,True,True
15,33.7060015857929,0.5005002499998743,0.5,0.0016184488468089964,2.599803748336505,7.791084801594342,1606.355216887077,1591.5268647542916,217.75977954090382,0.13682444472875596,0.9975741194401285,True,True
16,35.70650168263474,0.499251621818894,0.5,0.0016190595235933958,2.603544480105566,7.67580428136523,1608.0597668992248,1593.651057779049,214.78482246124076,0.13477531446599741,0.9975657605820776,True,True
17,37.707501782,0.5002498748124689,0.5,0.001617797071157963,2.6040993236813175,7.694674428551692,1609.6575832081298,1595.1636617951795,215.5236118564071,0.13511065793328014,0.9976184623456777,True,True
18,39.70700187956022,0.5,0.5,0.0016201243876124386,2.6075123657063153,7.646093048653433,1609.4519566790675,1595.1420336459144,214.14362786236634,0.13424737317774263,0.9976229666388587,True,True
19,41.61400197851239,0.5512670045198383,0.5,0.0010117685852878949,1.721810873928449,3.6553889682390195,1701.7832921136944,1698.321118229234,108.4977082427488,0.06388527297821903,0.5907188807019048,False,False
20,43.011002043832825,1.0204092044991888,1.0,0.0015935823481146212,2.716270551847006,7.095226417877171,1704.5059234376217,1691.453212972122,210.5385270211245,0.12447197794562617,0.9962107685750741,True,False
21,44.000502096,1.0009999989990002,1.0,0.0016052841679971002,2.7342079005683675,7.2989030188024895,1703.2547601711017,1689.4530742471447,216.39105333259317,0.128083494375256,0.9955237478533979,True,False
22,44.993502148785424,1.013172252454152,1.0,0.0015983443599091986,2.725580740756382,7.167709720074538,1705.2525157414896,1691.926270900179,212.77132391488567,0.1257568533418906,0.9960363178456287,True,False
23,45.98000219148936,1.0141987829614634,1.0,0.0015982470418843809,2.7257188727897725,7.0668131056415,1705.4427765910762,1692.4871484927362,209.81495755452326,0.12396841993239144,0.9960594465721596,True,False
24,46.966502244939264,1.0131712259371815,1.0,0.001599476378260823,2.7266180114984286,7.116406791250508,1704.6941415059807,1691.5620363344651,211.18710499651814,0.12484738984456675,0.9960264853429877,True,False
25,47.95350229251012,1.0131722524541593,1.0,0.0015969385561790466,2.7276274345726645,7.122564822787411,1708.035305440297,1694.8547093958227,211.78318788168696,0.12495654447995891,0.996033913117658,True,True
26,48.941502339393935,1.0111233681732745,1.0,0.0015998868654686956,2.73061945920291,7.175445588326884,1706.7578452823661,1693.3910681520128,213.18778749236665,0.12589400729804082,0.9959825395731696,True,True
27,49.92850238640974,1.0152284263959397,1.0,0.0015975020884266965,2.7285273709897777,7.074610515929456,1707.9961214178907,1694.9924842229477,210.3597613762637,0.12410660420875025,0.996111357488561,True,True
28,50.915002437815986,1.0121426756801282,1.0,0.001599184201850474,2.7318056270869717,7.053583086687126,1708.2495086719218,1695.3210412139565,209.76880391299528,0.12373397062469514,0.9960102120886627,True,True
29,51.90150247464503,1.01523151847163,1.0,0.0015968460557434986,2.7287653017615368,7.033946136084282,1708.8468183559569,1695.9856497846774,209.26090014554188,0.12338600870361709,0.996104514015017,True,True
30,52.888502512121214,1.0111203010711816,1.0,0.0015998923049875887,2.733780714784406,7.136586935939791,1708.7279601645523,1695.4901171038898,212.28401883125795,0.12520510540861526,0.9959841702164683,True,True
31,53.875502546653145,1.015227395708231,1.0,0.0015958834779377909,2.730910203904019,7.100774438172421,1711.2215532382827,1698.0969410537919,211.53246335018036,0.12457031058480629,0.9961554639815533,True,True
32,54.86150259210526,1.013172252454152,1.0,0.0015976072753349432,2.73315573264072,7.049132988053863,1710.7807249235927,1697.8494121033605,209.94776157503165,0.12365511339132271,0.9960706926778979,True,True
33,55.84800263931104,1.0141987829614634,1.0,0.0015984425353992003,2.733613109277547,7.08553318438664,1710.1729018959356,1697.1125078242624,210.9513928980047,0.12430018158810771,0.9960919075816586,True,True
34,56.83450268623482,1.0131712259371815,1.0,0.0015981672186796197,2.734759538841494,7.032803459294294,1711.18485404857,1698.310267651832,209.51333970319953,0.12336576165960714,0.996064224157184,True,True
35,57.82200273609707,1.0121467734279135,1.0,0.001600943606921196,2.7363482024512082,7.141837543221107,1709.2096127692653,1695.9485718594724,212.4992752709462,0.12529818344547894,0.9960782579730139,True,True
36,58.80950278238866,1.013172252454152,1.0,0.001597562073582008,2.7364385684568426,7.050600721729026,1712.884033558257,1699.9314370599157,210.24942738141897,0.12368112195457243,0.9961035127695108,True,True
37,59.79750283434343,1.0111192787079546,1.0,0.00159996230482438,2.739806133539373,7.131684428901698,1712.4191771756198,1699.1709346259581,212.59720901548823,0.12511820010756464,0.9960793377324072,True,True
38,60.78400287918782,1.0162591298179582,1.0,0.0015972088707982674,2.73776678574149,7.065992886280032,1714.094402927517,1701.0760702474176,210.85498661175473,0.1239538844262775,0.9962388533906699,True,True
39,61.857002950988814,0.8605859385421146,1.0,0.0005081130700304195,0.9644124827254061,1.6736602427590845,1898.0273085037334,1897.2175958721075,55.43516698980069,0.02921919294361089,0.3833362665104142,False,False
40,62.68550297580645,2.0202101826673946,2.0,0.001508684879928431,2.717712791545898,6.575244393778899,1801.3786892825628,1789.5298208578488,206.27215629318292,0.115266118445739,0.9945124250331521,True,False
41,63.17900299797161,2.0325161940727976,2.0,0.0015047252504294642,2.70970225116324,6.508656162916566,1800.7953614055873,1789.188770265728,204.12613261141288,0.114088650679993,0.994652520355921,True,False
42,63.67100302231238,2.0325161940727683,2.0,0.0015067853738383464,2.7098590339832667,6.435932107437359,1798.4373096748618,1787.1032301310524,201.59067856851308,0.1128030407922938,0.9946468833875485,True,False
43,64.16400304040404,2.024295595740092,2.0,0.001509290175804759,2.7135086472849728,6.602142113998808,1797.8707413490717,1785.948103560025,206.70891124818914,0.11574183529529515,0.9945177634574194,True,False
44,64.65800303838384,2.0242792047821307,2.0,0.0015083582339137005,2.7139106736351506,6.445177980320583,1799.2480914785292,1787.8763334213156,201.970074716732,0.1129664680611539,0.9945059369274603,True,False
45,65.15150314979758,2.0284099091880776,2.0,0.0015055675252095937,2.7120322325033377,6.499727018739082,1801.3355011265862,1789.7572280765912,203.90844064571382,0.11393078203396856,0.9944895416454982,True,True
46,65.64450310323888,2.028385222807968,2.0,0.0015036256698854182,2.711205156312065,6.4517292166508335,1803.1117788236943,1791.6924464759038,202.60864782614146,0.11308226935077739,0.9945156130594257,True,True
47,66.1375031659919,2.0284099091880776,2.0,0.0015068198105758774,2.712556698639009,6.578133934159921,1800.1865117517418,1788.3350869677358,206.2258320700987,0.11531722078985263,0.9945155497789135,True,True
48,66.63150317741935,2.020193857802597,2.0,0.0015089817656556794,2.7146433650510784,6.564982613990055,1798.9901712771973,1787.1938798021647,205.6785656057645,0.11508464074895572,0.9944525818525123,True,True
49,67.12450319918698,2.0366681738011545,2.0,0.0015035259105215739,2.7076631195599354,6.451466644685153,1800.8755955663216,1789.4713525802326,202.34917593364807,0.1130776280055456,0.994597311176832,True,True
50,67.61750322580646,2.020193857802597,2.0,0.0015061480179698594,2.7157942836339592,6.454367370712269,1803.1390349632336,1791.7101989498535,202.69420906187148,0.1131289028664755,0.9944178047487331,True,True
51,68.11200325252526,2.024307889132665,2.0,0.0015071022670412285,2.7125930562809466,6.495166246138214,1799.8732505434818,1788.3205886346982,203.60056553753964,0.1138501490345081,0.9944406486928131,True,True
52,68.60500326369169,2.0324996697188373,2.0,0.0015045892441075404,2.709013694635495,6.373098085123904,1800.5005055332354,1789.3736776047747,199.85973161344927,0.11169256266303086,0.9945711295993093,True,True
53,69.09850331249999,2.0202224264891444,2.0,0.0015104202995071274,2.714459817799907,6.547770582500205,1797.1552810073301,1785.4326648489862,204.93243604364693,0.11478026591441372,0.9944047572787225,True,True
54,69.59200331845842,2.032503800782131,2.0,0.0015034412325249358,2.708862023692309,6.352522323587252,1801.7744658651832,1790.7114729523187,199.358086068018,0.11132898240683038,0.9945730847915256,True,True
55,70.08550332862902,2.0202224264891444,2.0,0.001507136283005598,2.7151129029879093,6.579683201162391,1801.5045710221445,1789.6388878259704,206.4252179233558,0.1153446202625371,0.994381256810005,True,True
56,70.57950338461538,2.028381108469712,2.0,0.0015060396104130997,2.711268824772649,6.446737532435494,1800.2639545642232,1788.8802747097584,202.13280005371416,0.11299403482243088,0.9945135268483586,True,True
57,71.07200335699797,2.0325327186954483,2.0,0.001505139707267001,2.7127873144034256,6.479061792993558,1802.3491781565208,1790.8378594255375,203.37728793954503,0.11356543914298534,0.9946639598235688,True,True
58,71.5665034317269,2.0120683861802626,2.0,0.001525917198576499,2.758269361716682,6.774218031204852,1807.6140463518088,1794.9945269512605,213.22098579497245,0.11878642669575229,0.9949156774063326,True,True
59,72.21200341383648,1.2594474300345475,1.0,0.0003475672308953456,0.6250437817393064,-3.0608250029790023,1798.3392166435578,1795.7737281662598,-96.02424353264695,-0.05347235123586608,0.492263544728205,False,False
60,72.708503455,5.024999371875087,5.0,0.001045360271519139,2.0073010489697727,5.590210823451967,1920.2002445077826,1911.0678831755918,187.05219833648314,0.09787836422935506,0.9940970560520328,True,False
61,72.90850354455445,4.97519863480547,5.0,0.001049003229051931,2.0126771717020318,5.635390826176453,1918.6567933838019,1909.3837994173275,188.40752989321734,0.09867451999472934,0.9939456258256146,True,False
62,73.10800339698491,5.050556066222933,5.0,0.0010499367312829444,2.0218833361077895,5.301495371749322,1925.7192132303046,1917.4815392150801,177.929859702384,0.0927935190318544,0.9943474561989638,True,False
