test,nominal_frequency_hz,E_storage_mean,E_storage_std,E_loss_mean,E_loss_std,tan_delta_mean,tan_delta_std,n_cycles
7,0.5,1611.2079477334883,6.405509318574746,203.73783483271862,1.8766621383410367,0.12645533555537236,0.0015668152456694735,14
7,1.0,1714.8738399203248,2.493536915526522,198.69028921198466,1.3324339194527177,0.11586340577173874,0.0008350799537454873,14
7,2.0,1801.410888667946,1.8074903551088095,191.8581208641367,2.552436464857818,0.10650459000888976,0.0014304059965583246,14
7,5.0,1909.4342895145896,3.0784495755581935,175.77792236300928,3.990287585242407,0.09205896360493677,0.002149314403968919,14
7,10.0,1991.9232270518985,12.623610118250312,174.0602607746676,11.65491855250722,0.087398634312943,0.00607460798050951,14
8,0.5,1586.214353458323,6.962674816121519,217.1041779336181,2.1412472573934664,0.13687647982250678,0.0018876654072368276,14
8,1.0,1696.9665151642369,2.1917504176072446,211.0564511032955,1.269180252705426,0.12437321413438676,0.000805730827183607,14
8,2.0,1789.7392961289847,2.277536079383758,204.0265701512485,3.3813654549787193,0.11399742319557601,0.0018475886506353514,14
8,5.0,1911.1958658998417,3.136755813396482,184.43248998053642,5.5080986872788715,0.09650206928434055,0.002912819575289175,14
8,10.0,1998.1713209074758,15.52661344481273,174.71636096031924,13.902163228478003,0.0874442268597546,0.007007033742700958,14
