cycle,cycle_time_s,frequency_hz,nominal_frequency_hz,strain_amplitude,stress_amplitude_mpa,phase_lag_deg,E_star_mpa,E_storage_mpa,E_loss_mpa,tan_delta,fit_r2_min,reliable,steady_state
0,3.77,0.5000000000000001,0.5,0.0016220873983746897,2.6556517332602145,8.273051022320749,1637.1816561309474,1620.1444518101348,235.57531797815756,0.14540389760614056,0.9970527316413674,True,False
1,5.771000037443834,0.49950049950049935,0.5,0.0016197955545775996,2.5899844043998344,7.8023447285356715,1598.9575950375013,1584.1549024797546,217.06827423064112,0.13702465200268837,0.9970582620191104,True,False
2,7.768000263923732,0.5020077801165762,0.5,0.0016183835086087332,2.590296326345272,7.448923658493299,1600.545428550528,1587.0381456362209,207.49841722176654,0.13074570248504228,0.9971708418332514,True,False
3,9.767000462381665,0.49850473504722603,0.5,0.0016207175761214997,2.6054112602894475,7.526125801716984,1607.5664870152111,1593.7176888448594,210.55625955413245,0.1321164099689108,0.9972106933915091,True,False
4,11.769500562000001,0.5002498748124689,0.5,0.0016189762761698897,2.607832677614073,7.341037017128285,1610.7911622915074,1597.587797984373,205.8188432769623,0.1288310060559035,0.9972943989322968,True,False
5,13.768000661330666,0.5005005005005002,0.5,0.0016200525061334974,2.6123601587262217,7.260542053105097,1612.5157356541597,1599.5861218447917,203.79214051041046,0.1274030436544288,0.99734362245663,True,True
6,15.767000752123938,0.5000002500001253,0.5,0.00161965649085492,2.61713329554036,7.3275595975269345,1615.8570106176846,1602.6606441965419,206.089151354082,0.1285918838154288,0.9973561405698432,True,True
7,17.76800083624563,0.49950024999987513,0.5,0.0016216372087281708,2.623238037292589,7.312607898306507,1617.6479074194167,1604.4907003732255,205.8988703083492,0.12832662118917512,0.9973873159670219,True,True
8,19.769500937562437,0.4997503746878434,0.5,0.0016208346101902148,2.625945891894561,7.325006312345686,1620.1195824578242,1606.8976111339348,206.56119866850253,0.12854658394988783,0.9974478416930761,True,True
9,21.768501034534534,0.5007511266900351,0.5,0.0016205728350120441,2.628004640611218,7.225405821761574,1621.6516677522159,1608.774179076634,203.9602222489608,0.1267798954642752,0.997458597112584,True,True
10,23.766001135067533,0.5005002499998743,0.5,0.0016220474374449728,2.6308750730098347,7.189335615564657,1621.9470604102391,1609.195332459232,202.98435596084033,0.12614028382162412,0.9974489262099494,True,True
11,25.766501235528942,0.49925087406346835,0.5,0.0016256622760881221,2.6371718919123874,7.252068175247587,1622.2138698194376,1609.2367975207226,204.77980598634304,0.1272527488197125,0.9974507633326252,True,True
12,27.768001335332333,0.5,0.5,0.0016227454472532506,2.6387856068798063,7.1724131825010025,1626.1241782229997,1613.3996457231156,203.03060405256886,0.12584024335865762,0.9975311182753415,True,True
13,29.76950143512974,0.4992511233150274,0.5,0.00162503250367065,2.6425139202947032,7.275380257667784,1626.1298862181213,1613.0378333867304,205.93046135723296,0.12766623143913608,0.9974916248238859,True,True
14,31.769001509263898,0.5010020040080164,0.5,0.0016214206124255,2.642094630674449,7.119353546467462,1629.4936738975532,1616.9304907836356,201.95400775012388,0.1248996224025982,0.9976003343280263,True,True
15,33.76800158562157,0.49950074900137187,0.5,0.0016240805217462469,2.6461015272384025,7.158288643694204,1629.2920774600857,1616.5928553630647,203.02761798163223,0.12558982758589204,0.9975406545601598,True,True
16,35.76900168365816,0.5,0.5,0.0016254011014008737,2.6474831094609987,7.1224213436672485,1628.8183311671378,1616.249543765959,201.95684742644733,0.12495400119704023,0.9975958799898452,True,True
17,37.768501782,0.5002498748124689,0.5,0.0016227446567428478,2.649624304879357,7.098164270158181,1632.8042085177153,1620.2902297165033,201.76509816715998,0.12452404789385302,0.9975873745461245,True,True
18,39.76800188605697,0.5,0.5,0.0016250859218825376,2.652050974583794,7.060676035746224,1631.9450798709745,1619.5692829247455,200.59930588540735,0.12385966318350355,0.9975991954847747,True,True
19,41.6760019790864,0.5506604897244,0.5,0.0010197939082121166,1.7494189763275736,3.333029447549222,1715.4632541339865,1712.56149082241,99.73623431878191,0.05823804567209225,0.5908750849343407,False,False
20,43.07950204838709,1.009083772116596,1.0,0.0016095877191695939,2.7707886682501663,6.747271651857491,1721.4275651156497,1709.505048694775,202.25071180856014,0.11830951418539574,0.9959008738752444,True,False
21,44.0660021007121,1.0183278649126972,1.0,0.0016042899693356942,2.7609205967854913,6.614830898989898,1720.9610790801962,1709.5046085954457,198.2448710554841,0.11596626885865201,0.9960261651140763,True,False
22,45.05000215096251,1.0141987829614634,1.0,0.0016069223195661665,2.76496301830221,6.621883655384345,1720.6575480566407,1709.1786868201461,198.4202968550653,0.11609101984779473,0.9959384448334723,True,False
23,46.03550219472617,1.0152273957082236,1.0,0.0016036057926953511,2.7640280914644646,6.595814855649394,1723.6331422940723,1712.224687691072,197.98441371923522,0.1156299258751002,0.995957860041778,True,False
24,47.022002248736094,1.0121467734279135,1.0,0.0016082681975991423,2.768532288258731,6.648129704561079,1721.436942166522,1709.861768493254,199.2934482132997,0.11655529814490147,0.9958682671258594,True,False
25,48.00950229352226,1.013172252454152,1.0,0.001607808843582391,2.7677330321851876,6.550849828733138,1721.4316510527124,1710.1924184504715,196.38946285530355,0.11483471727306757,0.9959041913028053,True,True
26,48.99650234412955,1.0131712259371888,1.0,0.0016069517185496613,2.7688230175858597,6.684637100866947,1723.0281318500558,1711.314809363198,200.56810913227224,0.11720117656604993,0.9959053310421355,True,True
27,49.98650238832998,1.0070493454179232,1.0,0.0016091448770546178,2.7755018400987277,6.6330121594505655,1724.830299419038,1713.2849361370086,199.23425759636478,0.11628787097468085,0.9957055364283609,True,True
28,50.976502441295544,1.013172252454152,1.0,0.0016094191150283752,2.7786473721967786,6.6673094354716875,1726.4908476918326,1714.8146855620787,200.45259126359994,0.11689460846779252,0.9958310525026516,True,True
