material,test,strain_rate_per_s,secant_modulus_mpa,peak_stress_mpa,stress_final_mpa,pct_relaxation,rate_group
A0V100,10,0.00023145437052515529,2486.196305450716,14.871131949685534,10.4285933663522,29.87357383663909,very slow
A0V100,11,0.00022819345305750516,2600.17195379338,15.476535208333333,11.072509125000002,28.456150062334274,very slow
A0V100,12,0.00023315259515726365,2478.9587679166593,14.973039620833333,10.567763620833334,29.421387450752107,very slow
A0V100,1,0.002346673534785837,2557.042257440476,16.43439376785714,10.259327767857142,37.5740418978969,slow
A0V100,3,0.0021746747208425538,3118.810835069453,16.96678529861111,10.64720904861111,37.24675086515839,slow
A0V100,13,0.0022956870802642547,2504.784158333352,16.015315107142857,10.45668769047619,34.70819886764207,slow
A0V100,4,0.019323173463654093,2832.9539536099983,15.7408874,9.558549316666666,39.27566423817589,fast
A0V100,5,0.021008173541733746,2928.135870161329,16.91757787365591,10.384532456989247,38.61690760614105,fast
A0V100,6,0.020099745297805508,2991.6288759158056,16.47877131196581,10.268941311965811,37.68381684798809,fast
A25V75,10,0.00026420249248047334,1649.9523751325085,18.70783792807924,11.900088428079242,36.389825089205054,very slow
A25V75,11,0.0002679626681869475,1682.4727327138924,19.03155158024691,11.98931149691358,37.0029740015657,very slow
A25V75,12,0.00027212971075657385,1573.3284033621987,18.760832452557754,11.438775369224421,39.02842318883926,very slow
A25V75,1,0.0026608004556553577,1691.3973927180716,21.65214036604361,10.385603616043612,52.03428649330652,slow
A25V75,2,0.00272339286666196,1569.1705571581126,21.085711072649573,10.213964405982907,51.55978202114553,slow
A25V75,3,0.0028038156921527477,1567.27010214604,21.675583536231883,11.75064920289855,45.788545054592326,slow
A25V75,9,0.0025637738366285872,1661.5487819940458,21.216870952380955,10.683449119047618,49.64644342219218,slow
A25V75,4,0.026993335876472513,2131.005882183908,25.281256666666668,10.915372499999998,56.82424871548448,fast
A25V75,5,0.024988392831742572,2003.2321880342488,24.552488544871803,10.903360544871795,55.59162760652568,fast
A25V75,6,0.025949377045977665,1964.2036141025703,25.09982229871795,11.558507882051282,53.94984177779749,fast
A50V50,13,0.0003707979178760902,622.3614517857042,10.123771817261906,5.070702067261905,49.91291626490514,very slow
A50V50,14,0.00035136678420414643,728.9599257459532,9.923164830388693,4.882249663722026,50.79947025801055,very slow
A50V50,15,0.0003373101906017289,698.2060595619504,9.596521819444446,4.720452819444444,50.810794699805975,very slow
A50V50,4,0.0033661546663489154,540.2247531524124,10.698104334429823,3.7707225010964915,64.75335832198668,slow
A50V50,5,0.003062792744598875,628.0721201445335,11.67837669173442,4.271568441734417,63.42326887984615,slow
A50V50,6,0.0034660060139158544,508.9093669590636,12.224697868421053,4.303925285087719,64.79319708828423,slow
A50V50,7,0.03355078589202483,777.0757155797102,17.5448725,4.124777083333333,76.49012790869051,fast
A50V50,11,0.03584511557355912,869.3307662385324,19.228078265873016,4.745402682539683,75.32045263742208,fast
A50V50,12,0.03454264259021051,1059.495262263136,20.46101961231884,4.974503028985507,75.68790254230274,fast
A75V25,7,0.0006732136109607547,90.06565648374732,2.898110738546604,1.5607073218799368,46.14742283234394,very slow
A75V25,8,0.0005642608411562295,86.67860032333121,2.7270326727430554,1.4884804227430557,45.41758015514241,very slow
A75V25,9,0.0005932547111332736,127.27949754245543,2.801631,1.5187769166666667,45.78954485202845,very slow
A75V25,1,0.0030907630595963403,159.49267889984398,3.637703248931624,1.4295897489316236,60.700759487418686,slow
A75V25,2,0.002955338374890331,129.61842398936136,3.372308538405797,1.3920648717391302,58.72071443388137,slow
A75V25,3,0.003003500808271546,127.5884046966288,3.3278082987288133,1.4552493820621468,56.27003566827944,slow
A75V25,4,0.031273958575855056,119.81474800940903,5.592817388888889,1.2963332222222221,76.82146345779832,fast
A75V25,5,0.03262493954511499,46.82979250536763,5.596636829545456,1.3282883295454546,76.26631189407846,fast
A75V25,6,0.03312773497872889,58.19067958177093,6.113434833333333,1.3381112499999999,78.11195691979923,fast
A100V0,7,0.0028673036894276338,2.53635627937705,0.23073841447368423,0.20056183114035087,13.078265880506434,very slow
A100V0,8,0.0030209480136762046,2.4829617307210845,0.23057294444444446,0.19945144444444443,13.497463926214731,very slow
A100V0,9,0.0029368223199114575,2.838633949321854,0.22484313804713804,0.1976949713804714,12.074269600780552,very slow
A100V0,1,0.03123520729687441,12.329813645447985,0.3402677222222223,0.1974500555555556,41.97214644220507,slow
A100V0,2,0.03044198377284227,12.837578668545154,0.33523325,0.19812333333333335,40.89985604550463,slow
A100V0,3,0.030105197013528685,4.051912410903286,0.33448926530612244,0.19931243197278914,40.41290628852329,slow
A100V0,4,0.3079588555813903,0.07588854550461964,0.7297351539855073,0.19236748731884057,73.63872546523076,fast
A100V0,5,0.2969706329700608,-0.1093383346078745,0.6849612239583333,0.19816889062499998,71.06859721491989,fast
A100V0,6,0.30486205356951684,0.08317926365215171,0.6144153940972222,0.19840897743055555,67.70768126308369,fast
