material,rate_group,strain_rate_per_s,secant_modulus_mean,secant_modulus_std,pct_relaxation_mean,pct_relaxation_std,a_fraction
A0V100,fast,0.020143697434397784,2917.572899895711,79.86310160401194,38.52546289743501,0.799853817565855,0
A0V100,slow,0.0022723451119642155,2726.879083614427,340.4270855550798,36.50966387689912,1.5686736402805055,0
A0V100,very slow,0.00023093347291330802,2521.775675720252,67.98954183680496,29.25037044990849,0.7240218573525844,0
A100V0,fast,0.30326384737365597,0.01657649151629895,0.10910635279940079,70.80500131441146,2.974295451200036,100
A100V0,slow,0.03059412936108179,9.739768241632142,4.932365993419121,41.09496959207766,0.7977214026561062,100
A100V0,very slow,0.002941691341005099,2.619317319806663,0.19180089270639852,12.883333135833906,0.7313477990642929,100
A25V75,fast,0.025977035251397582,2032.8138947735758,87.24710418964193,55.45523936660255,1.442048932889508,25
A25V75,slow,0.0026879457127746633,1622.3467085040675,63.68132954071859,49.75726424780914,2.8400066854194455,25
A25V75,very slow,0.0002680982904746649,1635.2511704028666,56.03762327922982,37.473740759870005,1.3808569760810037,25
A50V50,fast,0.03464618135193149,901.9672480271262,144.01060740400638,75.83282769613844,0.5981534378526518,50
A50V50,slow,0.0032983178082878818,559.0687467520032,61.7759055601079,64.32327476337235,0.7796824511372368,50
A50V50,very slow,0.0003531582975606552,683.1758123645359,54.86565328851023,50.507727074240556,0.5151523899994853,50
A75V25,fast,0.03234221103323298,74.94507336551585,39.271277236388926,77.066577423892,0.9469224004756616,75
A75V25,slow,0.0030165340809194057,138.8998358619447,17.86278625718517,58.56383652985983,2.2195239124527566,75
A75V25,very slow,0.0006102430544167526,101.34125144984466,22.52692822222067,45.78484927983826,0.3649439952442289,75
