rate_group,theory,implied_E_A_mpa,predicted_E_25_mpa,actual_E_25_mpa,pct_error
slow,Voigt,-1640.8390055682328,1659.022622912121,1609.2793506740747,3.0910278080191897
slow,Reuss,311.04931179255044,929.7386981661734,1609.2793506740747,-42.226394828422045
slow,Log,113.28761361322191,1241.9571384128144,1609.2793506740747,-22.82526101558446
fast,Voigt,-1113.6384038414587,1909.7700739614186,2032.813894773576,-6.052881728549118
fast,Reuss,533.4400877293018,1377.9434683353506,2032.813894773576,-32.21497197170466
fast,Log,278.8430467470779,1622.2068916872033,2032.813894773576,-20.198947092109876
